Prespecified Sediment delivery ratio [0-1] for Landscape units		
lu_id	sdr
1	7.34770753189695E-3
2	7.52026565420164E-3
3	7.13295896332792E-3
4	7.29403205858091E-3
5	6.74849505476838E-3
6	7.39729338600559E-3
7	7.6667744328242E-3
8	5.1974978228366E-3
9	7.79778964971132E-3
10	6.61452265069772E-3
11	7.04244644828118E-3
12	7.20859636743957E-3
13	7.9503743348863E-3
15	4.6862225081193E-3
16	4.85129692860649E-3
17	4.11180470067189E-3
18	6.11795057391494E-3
19	4.79659767765645E-3
20	4.86568571666098E-3
21	4.68597106886124E-3
22	4.06384263319113E-3
23	3.39807889887511E-3
24	4.15076082047337E-3
25	5.36097947337445E-3
26	5.38657788579571E-3
27	3.86503215753928E-3
28	4.90455250552863E-3
29	4.90356493272207E-3
30	5.07813264746738E-3
31	3.4967275443941E-3
32	3.68885521671214E-3
33	4.9427514783209E-3
34	4.16925535576283E-3
35	3.3073840800723E-3
36	3.50367645713814E-3
37	3.48976167003528E-3
38	0.004642172012183
39	6.85264311078858E-3
40	3.55586233667803E-3
41	4.71614998287427E-3
42	4.65039665648102E-3
43	3.62943853261413E-3
44	4.22580093578945E-3
45	5.27675767479484E-3
46	5.55312389924403E-3
47	5.7626844714578E-3
48	6.09872440928014E-3
49	5.71268579067727E-3
50	4.90815189677457E-3
51	3.25342004369814E-3
52	3.93082305998154E-3
53	3.54568917883065E-3
54	4.29892748965377E-3
55	4.94928665439532E-3
56	6.49026312117235E-3
57	4.14944736963442E-3
58	5.11714653632233E-3
59	4.22800323287062E-3
60	4.11965837953929E-3
61	6.18545337071267E-3
62	7.19411172797328E-3
63	4.37335831391421E-3
64	5.23161078189933E-3
65	6.00000000000019E-3
66	6.00142145179628E-3
67	6.00000000000022E-3
68	6.00000000000021E-3
69	6.00000000000022E-3
70	6.0000000000002E-3
71	6.75243138335456E-3
72	5.35528070172667E-3
73	6.75901233953329E-3
74	5.99999999999901E-3
75	6.0000000000002E-3
76	6.45729269408445E-3
77	6.14810235217352E-3
78	6.62093522594549E-3
79	6.47414846677846E-3
80	5.35013976390134E-3
81	6.00000000000021E-3
82	6.00000000000021E-3
84	6.00000000000022E-3
86	5.0133641223695E-3
88	6.00000000000021E-3
89	6.0000000000002E-3
90	6.00000000000021E-3
91	3.9933299066729E-3
92	4.40015369696672E-3
93	2.44093995327466E-3
94	2.77310663025636E-3
95	5.01644901013246E-3
96	5.59486661882872E-3
97	4.66942998374311E-3
98	4.20754164062261E-3
99	4.9913221259008E-3
100	5.42178342314943E-3
101	5.4402934307707E-3
102	4.50644462413737E-3
103	3.63799836389029E-3
104	4.74700891379164E-3
105	5.75416172241599E-3
106	4.26189239968431E-3
