Specifications of soil vegetation components and erosion parameters
id	soil_id	veg_id	musle_k[(ton acre hr)/(acre ft-ton inch)]	musle_c1[-]	musle_c2[-]	musle_c3[-]	musle_c4[-]	musle_p[-]	coarse_fraction[%]	manning_n
5050	50	50	0.2323034652571	0.67	0.69	0.58	0.61	1.0	19.0068325322778	0.02
76709	767	9	0.164464942737221	0.25	0.04	0.37	0.11	1.0	18.4480897906324	0.2
76710	767	10	0.164464942737221	0.12	0.04	0.01	0.01	1.0	18.4480897906324	0.045
76713	767	13	0.164464942737221	0.00158	0.00158	0.00158	0.00158	1.0	18.4480897906324	0.2
76716	767	16	0.164464942737221	0.00058	0.00058	0.00058	0.00058	1.0	18.4480897906324	0.2
76717	767	17	0.164464942737221	0.00158	0.00158	0.00158	0.00158	1.0	18.4480897906324	0.2
76718	767	18	0.164464942737221	0.05	0.04	0.04	0.04	1.0	18.4480897906324	0.15
77201	772	1	0.225031837653346	0.25	0.04	0.37	0.11	1.0	9.89553326713266	0.2
77209	772	9	0.225031837653346	0.25	0.04	0.37	0.11	1.0	9.89553326713266	0.2
77210	772	10	0.225031837653346	0.12	0.04	0.01	0.01	1.0	9.89553326713266	0.045
77213	772	13	0.225031837653346	0.00158	0.00158	0.00158	0.00158	1.0	9.89553326713266	0.2
77216	772	16	0.225031837653346	0.00058	0.00058	0.00058	0.00058	1.0	9.89553326713266	0.2
77217	772	17	0.225031837653346	0.00158	0.00158	0.00158	0.00158	1.0	9.89553326713266	0.2
77218	772	18	0.225031837653346	0.05	0.04	0.04	0.04	1.0	9.89553326713266	0.15
77251	772	51	0.225031837653346	1.0	1.0	1.0	1.0	1.0	9.89553326713266	0.02
83218	832	18	0.215810986972966	0.05	0.04	0.04	0.04	1.0	7.48454431662395	0.15
84616	846	16	0.163917443098396	0.00058	0.00058	0.00058	0.00058	1.0	19.8695158893137	0.2
84618	846	18	0.163917443098396	0.05	0.04	0.04	0.04	1.0	19.8695158893137	0.15
90001	900	1	0.229352535373496	0.25	0.04	0.37	0.11	1.0	17.8904716378303	0.2
90010	900	10	0.229352535373496	0.12	0.04	0.01	0.01	1.0	17.8904716378303	0.045
90013	900	13	0.229352535373496	0.00158	0.00158	0.00158	0.00158	1.0	17.8904716378303	0.2
90016	900	16	0.229352535373496	0.00058	0.00058	0.00058	0.00058	1.0	17.8904716378303	0.2
90017	900	17	0.229352535373496	0.00158	0.00158	0.00158	0.00158	1.0	17.8904716378303	0.2
90018	900	18	0.229352535373496	0.05	0.04	0.04	0.04	1.0	17.8904716378303	0.15
90051	900	51	0.229352535373496	1.0	1.0	1.0	1.0	1.0	17.8904716378303	0.02
102101	1021	1	0.247747521976345	0.25	0.04	0.37	0.11	1.0	32.9951878153616	0.2
102113	1021	13	0.247747521976345	0.00158	0.00158	0.00158	0.00158	1.0	32.9951878153616	0.2
102116	1021	16	0.247747521976345	0.00058	0.00058	0.00058	0.00058	1.0	32.9951878153616	0.2
102117	1021	17	0.247747521976345	0.00158	0.00158	0.00158	0.00158	1.0	32.9951878153616	0.2
102118	1021	18	0.247747521976345	0.05	0.04	0.04	0.04	1.0	32.9951878153616	0.15
106901	1069	1	0.234667793352497	0.25	0.04	0.37	0.11	1.0	8.77417716716839	0.2
106903	1069	3	0.234667793352497	0.22	0.22	0.22	0.22	1.0	8.77417716716839	0.15
