Specification of terrain components							
TC-ID	fraction	slope[%]	position[-]	beta_fac	sdr_tc	f_diff2conc	f_conc2diff
5	0.17	17.22	1	1	1	0.865379219	0.218525461
4	0.2	11.97	2	1	1	0.864198144	0.194459433
3	0.36	5.64	3	1	1	0.87800161	0.15302688
2	0.16	1.19	4	1	1	0.823463129	0.254312798
1	0.11	4.22	5	1	1	0.736229766	0.369423483
10	0.29	12.56	1	1	1	0.89636123	0.144363125
9	0.08	16.39	2	1	1	0.779135702	0.343790826
8	0.36	11.77	3	1	1	0.878124353	0.140888
7	0.16	8.9	4	1	1	0.832644356	0.230629778
6	0.11	4.36	5	1	1	0.761371732	0.328794238
15	0.19	11.56	1	1	1	0.910021727	0.126321744
14	0.4	10.03	2	1	1	0.908686854	0.099105993
13	0.04	6.86	3	1	1	0.795985439	0.327691212
12	0.04	12.36	4	1	1	0.798287182	0.320857842
11	0.33	6.36	5	1	1	0.880637992	0.126684181
20	0.05	5.9	1	1	1	0.689942293	0.458392376
19	0.14	11.45	2	1	1	0.861372216	0.229561535
18	0.2	7.48	3	1	1	0.885486587	0.171273513
17	0.22	10.32	4	1	1	0.887362514	0.159034874
16	0.39	12.87	5	1	1	0.861352919	0.156358881
25	0.03	8.28	1	1	1	0.689646994	0.460343019
24	0.46	6.02	2	1	1	0.910596954	0.096441443
23	0.08	10.69	3	1	1	0.874523128	0.198414294
22	0.26	7.49	4	1	1	0.893441306	0.117580015
21	0.17	9.42	5	1	1	0.867356919	0.159239568
30	0.23	7.88	1	1	1	0.923299874	0.093825987
29	0.08	5.09	2	1	1	0.889983133	0.181323192
28	0.06	7.41	3	1	1	0.87380076	0.215120876
27	0.54	5.25	4	1	1	0.899999984	0.096789625
26	0.09	3.09	5	1	1	0.868757811	0.164227622
35	0.17	20.9	1	1	1	0.911139403	0.13976097
34	0.18	15.51	2	1	1	0.909388218	0.128422931
33	0.16	8.51	3	1	1	0.90202134	0.138845809
32	0.22	5.91	4	1	1	0.897569553	0.123219996
31	0.27	3.26	5	1	1	0.889647048	0.12815812
40	0.23	10.01	1	1	1	0.92983329	0.087934699
39	0.46	9.48	2	1	1	0.916442296	0.079758608
38	0.04	5.89	3	1	1	0.846794773	0.241407209
37	0.22	7.44	4	1	1	0.890492441	0.109528094
36	0.05	2.79	5	1	1	0.861966695	0.201572247
45	0.19	14.09	1	1	1	0.895440339	0.134860581
44	0.14	1.27	2	1	1	0.896089542	0.156955673
43	0.26	17.03	3	1	1	0.871466619	0.122300926
42	0.18	8.8	4	1	1	0.877061438	0.154359381
41	0.23	0.24	5	1	1	0.872597801	0.189259642
