discharge [m?/s]									
YYYY	MM	DD	HH	480	0	0	0	0	0
YYYY	MM	DD	HH	284792	0	0	0	0	0
YYYY	MM	DD	HH	4674623	0	0	0	0	0
YYYY	MM	DD	HH	Capella	Cabecera	Carrasquero	Ceguera	Villacarli	Lascuarre
2009	1	1	0	4.54	-9999	-9999	-9999	-9999	-9999
2009	1	2	0	4.29	-9999	-9999	-9999	-9999	-9999
2009	1	3	0	3.83	-9999	-9999	-9999	-9999	-9999
2009	1	4	0	3.36	-9999	-9999	-9999	-9999	-9999
2009	1	5	0	2.83	-9999	-9999	-9999	-9999	-9999
2009	1	6	0	2.68	-9999	-9999	-9999	-9999	-9999
2009	1	7	0	2.35	-9999	-9999	-9999	-9999	-9999
2009	1	8	0	2.08	-9999	-9999	-9999	-9999	-9999
2009	1	9	0	2.09	-9999	-9999	-9999	-9999	-9999
2009	1	10	0	2.18	-9999	-9999	-9999	-9999	-9999
2009	1	11	0	2.02	-9999	-9999	-9999	-9999	-9999
2009	1	12	0	1.75	-9999	-9999	-9999	-9999	-9999
2009	1	13	0	1.67	-9999	-9999	-9999	-9999	-9999
2009	1	14	0	1.63	-9999	-9999	-9999	-9999	-9999
2009	1	15	0	1.55	-9999	-9999	-9999	-9999	-9999
2009	1	16	0	1.48	-9999	-9999	-9999	-9999	-9999
2009	1	17	0	1.45	-9999	-9999	-9999	-9999	-9999
2009	1	18	0	1.4	-9999	-9999	-9999	-9999	-9999
2009	1	19	0	1.72	-9999	-9999	-9999	-9999	-9999
2009	1	20	0	8.94	-9999	-9999	-9999	-9999	-9999
2009	1	21	0	6.14	-9999	-9999	-9999	-9999	-9999
2009	1	22	0	4.74	-9999	-9999	-9999	-9999	-9999
2009	1	23	0	7.33	-9999	-9999	-9999	-9999	-9999
2009	1	24	0	20.26	-9999	-9999	-9999	-9999	-9999
2009	1	25	0	16.16	-9999	-9999	-9999	-9999	-9999
2009	1	26	0	11.92	-9999	-9999	-9999	-9999	-9999
2009	1	27	0	10	-9999	-9999	-9999	-9999	-9999
2009	1	28	0	8.38	-9999	-9999	-9999	-9999	-9999
2009	1	29	0	7.6	-9999	-9999	-9999	-9999	-9999
2009	1	30	0	6.79	-9999	-9999	-9999	-9999	-9999
2009	1	31	0	6.44	-9999	-9999	-9999	-9999	-9999
2009	2	1	0	6.41	-9999	-9999	-9999	-9999	-9999
2009	2	2	0	9.37	-9999	-9999	-9999	-9999	-9999
2009	2	3	0	8.63	-9999	-9999	-9999	-9999	-9999
2009	2	4	0	8.44	-9999	-9999	-9999	-9999	-9999
2009	2	5	0	8.21	-9999	-9999	-9999	-9999	-9999
2009	2	6	0	8.61	-9999	-9999	-9999	-9999	-9999
2009	2	7	0	8.72	-9999	-9999	-9999	-9999	-9999
2009	2	8	0	7.27	-9999	-9999	-9999	-9999	-9999
2009	2	9	0	6.31	-9999	-9999	-9999	-9999	-9999
2009	2	10	0	6.11	-9999	-9999	-9999	-9999	-9999
2009	2	11	0	6.37	-9999	-9999	-9999	-9999	-9999
2009	2	12	0	6.43	-9999	-9999	-9999	-9999	-9999
2009	2	13	0	5.96	-9999	-9999	-9999	-9999	-9999
2009	2	14	0	5.74	-9999	-9999	-9999	-9999	-9999
2009	2	15	0	5.66	-9999	-9999	-9999	-9999	-9999
2009	2	16	0	5.43	-9999	-9999	-9999	-9999	-9999
2009	2	17	0	4.98	-9999	-9999	-9999	-9999	-9999
2009	2	18	0	4.71	-9999	-9999	-9999	-9999	-9999
2009	2	19	0	4.54	-9999	-9999	-9999	-9999	-9999
2009	2	20	0	4.33	-9999	-9999	-9999	-9999	-9999
2009	2	21	0	4.19	-9999	-9999	-9999	-9999	-9999
