daily rainfall
Date	No. of timestep	Subbasin-ID.
0	0	001	002	003	004	005	006	007	010	011	012	013	014	015	016	020	021	022
01012009	1	0.00	0.00	0.03	0.02	0.03	0.04	0.13	0.00	0.00	0.00	0.00	0.00	0.03	0.05	0.05	0.05	0.00
02012009	2	0.93	2.14	1.92	2.08	2.07	2.15	1.96	1.08	1.67	2.12	2.59	2.16	2.55	2.11	1.55	1.65	1.45
03012009	3	0.00	0.00	0.00	0.00	0.02	0.03	0.02	0.00	0.00	0.00	0.00	0.00	0.03	0.04	0.03	0.02	0.00
04012009	4	0.00	0.04	0.06	0.08	0.09	0.07	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.01	0.03	0.00
05012009	5	0.00	0.02	0.02	0.03	0.01	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00
06012009	6	0.16	0.05	0.03	0.02	0.16	0.23	0.17	0.31	0.18	0.16	0.07	0.11	0.30	0.38	0.37	0.30	0.24
07012009	7	1.57	0.71	0.52	0.38	0.18	0.13	0.05	0.29	0.94	0.46	0.29	0.62	0.35	0.06	0.10	0.14	0.66
08012009	8	0.00	0.02	0.02	0.03	0.01	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
09012009	9	1.71	1.47	1.68	1.50	1.41	1.53	2.02	1.80	1.84	1.75	1.80	1.85	1.65	1.34	1.03	1.06	1.80
10012009	10	4.99	5.29	5.85	7.03	5.32	5.17	3.46	2.35	3.64	2.61	2.24	2.96	2.88	2.56	2.33	3.32	3.08
11012009	11	0.00	1.11	1.35	2.14	1.00	1.27	0.24	0.02	0.03	0.05	0.05	0.04	0.04	0.04	0.04	0.56	0.03
12012009	12	0.00	0.79	1.00	1.58	0.84	0.97	0.18	0.00	0.00	0.00	0.00	0.00	0.04	0.05	0.03	0.41	0.00
13012009	13	0.00	0.03	0.04	0.06	0.03	0.04	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
14012009	14	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.02	0.03	0.05	0.05	0.04	0.04	0.02	0.00	0.00	0.03
15012009	15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00
16012009	16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17012009	17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18012009	18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19012009	19	13.66	13.15	10.72	8.78	5.77	8.30	4.10	13.53	15.21	16.06	18.78	17.66	12.97	7.74	5.15	4.31	14.27
20012009	20	1.88	1.28	1.39	1.26	1.02	1.14	1.26	1.27	1.53	1.20	1.12	1.35	1.12	0.89	0.80	0.83	1.40
21012009	21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22012009	22	4.42	4.85	4.80	4.33	4.50	4.93	5.72	4.87	5.58	5.88	6.78	6.39	6.27	5.69	5.32	5.07	5.22
23012009	23	6.41	6.04	5.65	5.40	5.00	5.27	4.43	7.75	7.35	7.42	7.60	7.55	6.34	5.36	4.80	4.62	7.47
24012009	24	12.85	10.22	8.37	6.24	2.74	5.25	1.45	11.82	12.73	12.64	14.48	14.20	8.71	3.93	2.21	1.51	12.06
25012009	25	3.04	1.96	1.68	1.54	1.16	1.11	0.52	2.39	2.56	2.08	1.75	2.14	1.38	0.80	0.62	0.66	2.48
26012009	26	2.90	2.14	1.51	0.94	0.24	0.90	0.15	6.29	4.32	4.82	4.65	4.43	2.36	0.97	0.33	0.10	5.13
27012009	27	2.84	1.08	0.70	0.42	0.01	0.01	0.00	2.09	2.16	1.49	0.81	1.39	0.54	0.02	0.00	0.00	2.14
28012009	28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29012009	29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30012009	30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
