Specification of terrain components
TC-ID	fraction	slope[%]	position[-]
5	0.17	17.22	1
4	0.2	11.97	2
3	0.36	5.64	3
2	0.16	1.19	4
1	0.11	4.22	5
10	0.29	12.56	1
9	0.08	16.39	2
8	0.36	11.77	3
7	0.16	8.9	4
6	0.11	4.36	5
15	0.19	11.56	1
14	0.4	10.03	2
13	0.04	6.86	3
12	0.04	12.36	4
11	0.33	6.36	5
20	0.05	5.9	1
19	0.14	11.45	2
18	0.2	7.48	3
17	0.22	10.32	4
16	0.39	12.87	5
25	0.03	8.28	1
24	0.46	6.02	2
23	0.08	10.69	3
22	0.26	7.49	4
21	0.17	9.42	5
30	0.23	7.88	1
29	0.08	5.09	2
28	0.06	7.41	3
27	0.54	5.25	4
26	0.09	3.09	5
35	0.17	20.9	1
34	0.18	15.51	2
33	0.16	8.51	3
32	0.22	5.91	4
31	0.27	3.26	5
40	0.23	10.01	1
39	0.46	9.48	2
38	0.04	5.89	3
37	0.22	7.44	4
36	0.05	2.79	5
45	0.19	14.09	1
44	0.14	1.27	2
43	0.26	17.03	3
42	0.18	8.8	4
41	0.23	0.24	5
50	0.23	12.18	1
49	0.08	0.5	2
48	0.08	17.56	3
47	0.36	10.6	4
46	0.25	5.16	5
55	0.07	22.06	1
54	0.14	15.74	2
53	0.08	22.06	3
52	0.26	10.8	4
51	0.45	2.52	5
60	0.03	4.78	1
59	0.2	31.03	2
58	0.18	13.65	3
57	0.16	25.66	4
56	0.43	4.4	5
65	0.25	13.96	1
64	0.28	9.04	2
63	0.22	5.3	3
62	0.16	0.41	4
61	0.09	3.94	5
75	0.03	28.92	1
74	0.08	12.8	2
73	0.02	38.72	3
72	0.06	10.52	4
71	0.81	15.46	5
80	0.07	20.29	1
79	0.08	39.83	2
78	0.2	23.81	3
77	0.14	15.4	4
76	0.51	7.69	5
85	0.55	12.42	1
84	0.02	3.47	2
83	0.1	14.47	3
82	0.08	25.85	4
81	0.25	16.2	5
90	0.37	12.43	1
89	0.02	41.76	2
88	0.08	8.66	3
87	0.14	34.5	4
86	0.39	16.78	5
95	0.51	23.6	1
94	0.1	12.13	2
93	0.24	0.5	3
92	0.1	5.71	4
91	0.05	21.08	5
100	0.05	2.32	1
99	0.38	20.4	2
98	0.24	3.7	3
97	0.06	19.2	4
96	0.27	3.07	5
105	0.15	7.86	1
104	0.24	14.04	2
103	0.16	19.58	3
102	0.28	25.5	4
101	0.17	14.45	5
110	0.03	0.47	1
109	0.22	24.67	2
108	0.16	27.42	3
107	0.42	19.02	4
106	0.17	10.93	5
115	0.27	9.61	1
114	0.14	29.31	2
113	0.04	4.33	3
112	0.24	28.67	4
111	0.31	17.69	5
120	0.35	30.56	1
119	0.06	39.86	2
118	0.2	31.43	3
117	0.22	21.06	4
116	0.17	7.72	5
125	0.03	18.81	1
124	0.6	19.1	2
123	0.2	14.94	3
122	0.12	3.99	4
121	0.05	8.84	5
130	0.21	24.65	1
129	0.04	3.68	2
128	0.04	31.81	3
127	0.42	18.48	4
126	0.29	10.96	5
135	0.45	16.21	1
134	0.2	27.38	2
133	0.24	21.95	3
132	0.06	33.58	4
131	0.05	18.05	5
140	0.13	32.76	1
139	0.34	30.6	2
138	0.18	26.74	3
137	0.26	20.11	4
136	0.09	11.19	5
145	0.43	21.41	1
144	0.1	13.19	2
143	0.04	25.17	3
142	0.22	17.04	4
141	0.21	8.63	5
150	0.09	17.93	1
149	0.02	39.7	2
148	0.2	21.95	3
147	0.3	11.15	4
146	0.39	3.11	5
155	0.29	17.35	1
154	0.08	31.17	2
153	0.12	19.08	3
152	0.34	32.51	4
151	0.17	19.23	5
160	0.07	16.81	1
159	0.44	29.21	2
158	0.02	16.44	3
157	0.3	24.16	4
156	0.17	12.1	5
165	0.29	8.84	1
164	0.26	21.87	2
163	0.04	12.46	3
162	0.3	29.3	4
161	0.11	18.49	5
170	0.23	29.67	1
169	0.2	21.53	2
168	0.08	26.97	3
167	0.38	19.52	4
166	0.11	11.87	5
175	0.13	36.01	1
174	0.22	33.83	2
173	0.18	27.31	3
172	0.1	18.62	4
171	0.37	6.79	5
180	0.19	21.96	1
179	0.04	6.61	2
178	0.16	16.33	3
177	0.46	34.45	4
176	0.15	22.69	5
185	0.03	45.52	1
184	0.08	26.43	2
183	0.16	39.71	3
182	0.3	20.71	4
181	0.43	6.09	5
190	0.17	8.65	1
189	0.36	17.06	2
188	0.24	24.15	3
187	0.04	9.41	4
186	0.19	15.77	5
194	0.084210526315789	25.15	1
192	0.29473684210526	28.03	3
191	0.62105263157895	15.2	4
200	0.11	6.99	1
199	0.3	15.01	2
198	0.36	23.3	3
197	0.04	12.02	4
196	0.19	20.48	5
205	0.03	8.96	1
204	0.14	25.18	2
203	0.32	33.62	3
202	0.26	25.64	4
201	0.25	17.35	5
210	0.31	9.54	1
209	0.14	25.74	2
208	0.18	35.53	3
207	0.24	28.83	4
206	0.13	18.31	5
215	0.09	30.99	1
214	0.02	5.08	2
213	0.26	38.55	3
212	0.52	26.56	4
211	0.11	8.95	5
220	0.03	107.6	1
219	0.32	26.42	2
218	0.04	4.22	3
217	0.04	16.76	4
216	0.57	6.28	5
225	0.05	21.19	1
224	0.06	42.66	2
223	0.48	32.94	3
222	0.3	24.12	4
221	0.11	13.31	5
230	0.45	30.91	1
229	0.1	79.38	2
228	0.16	5.28	3
227	0.08	38.53	4
226	0.21	12.47	5
235	0.17	0.41	1
234	0.24	43.52	2
233	0.06	18.68	3
232	0.42	39.14	4
231	0.11	12.99	5
240	0.29	13.22	1
239	0.22	23.09	2
238	0.3	33.3	3
237	0.1	43.33	4
236	0.09	22.67	5
245	0.29	32.5	1
244	0.28	5.55	2
243	0.28	19.49	3
242	0.08	42.4	4
241	0.07	2.59	5
250	0.11	36.9	1
249	0.12	34.97	2
248	0.16	20.22	3
247	0.5	10.05	4
246	0.11	3.25	5
255	0.09	20.5	1
254	0.06	32.96	2
253	0.2	6.48	3
252	0.22	11.11	4
251	0.43	0.23	5
260	0.01	2.8	1
259	0.1	29.53	2
258	0.14	21.39	3
257	0.58	0.61	4
256	0.17	10.82	5
265	0.01	56.58	1
264	0.12	31.42	2
263	0.22	25.76	3
262	0.26	18.18	4
261	0.39	4.12	5
270	0.47	11.74	1
269	0.2	20.48	2
268	0.04	34.94	3
267	0.18	15.64	4
266	0.11	6.77	5
275	0.31	29.97	1
274	0.14	25.11	2
273	0.14	30.05	3
272	0.18	25.34	4
271	0.23	12.33	5
280	0.03	15.39	1
279	0.46	32.06	2
278	0.22	26.71	3
277	0.24	19.64	4
276	0.05	11.28	5
285	0.05	48.92	1
284	0.22	41.79	2
283	0.14	28.87	3
282	0.32	17.97	4
281	0.27	4.51	5
290	0.09	39.54	1
289	0.06	11.52	2
288	0.04	43.88	3
287	0.6	26.42	4
286	0.21	15.02	5
295	0.27	33.91	1
294	0.02	68.37	2
293	0.08	36.28	3
292	0.3	15.31	4
291	0.33	6.66	5
300	0.35	16.67	1
299	0.28	31.77	2
298	0.04	15.55	3
297	0.14	39.22	4
296	0.19	19.53	5
305	0.13	5.67	1
304	0.22	16.36	2
303	0.2	23.27	3
302	0.24	33.38	4
301	0.21	19.1	5
310	0.19	30.81	1
309	0.4	27.22	2
308	0.08	18.1	3
307	0.28	20.21	4
