Specification of terrain components							
TC-ID	fraction	slope[%]	position[-]	beta_fac	sdr_tc	f_diff2conc	f_conc2diff
1	0.41	4.88	5	1	1	0.164420096	0.85648352
2	0.22	17.09	4	1	1	0.187033657	0.87464881
3	0.06	41.63	3	1	1	0.466887458	0.681524007
4	0.26	31.2	2	1	1	0.179376695	0.886600789
5	0.05	46.81	1	1	1	0.535943018	0.618653074
6	0.19	6.7	5	1	1	0.22533298	0.83514973
7	0.42	12.74	4	1	1	0.136785378	0.876020244
8	0.08	18.04	3	1	1	0.340093641	0.781483676
9	0.3	13.23	2	1	1	0.141816217	0.898583532
10	0.01	6.98	1	1	1	0.826837627	0.281131946
11	0.19	11.25	5	1	1	0.220354471	0.832428607
12	0.24	22.34	4	1	1	0.167724993	0.86587154
13	0.18	27.81	3	1	1	0.192342651	0.882524578
14	0.16	33.6	2	1	1	0.232209043	0.86061059
15	0.23	27.13	1	1	1	0.181286486	0.891180728
16	0.07	12.8	5	1	1	0.26152644	0.828971705
17	0.04	21.63	4	1	1	0.353728116	0.766253435
18	0.42	16.23	3	1	1	0.100185778	0.903326226
19	0.04	21.39	2	1	1	0.381204989	0.753500051
20	0.43	11.66	1	1	1	0.090132606	0.926543328
21	0.23	8.78	5	1	1	0.140163496	0.878774528
22	0.26	14.41	4	1	1	0.112546408	0.903145825
23	0.38	18.03	3	1	1	0.095916823	0.917167879
24	0.06	22.77	2	1	1	0.309181216	0.802171354
25	0.07	16.05	1	1	1	0.27752265	0.831205679
26	0.47	3.8	5	1	1	0.159315533	0.863989572
27	0.22	9.67	4	1	1	0.185532863	0.870813113
28	0.14	15.97	3	1	1	0.2491911	0.846694357
29	0.1	20.52	2	1	1	0.325308128	0.798812446
30	0.07	19.95	1	1	1	0.415635607	0.729393416
31	0.15	11.65	5	1	1	0.250931779	0.77256017
32	0.38	16.55	4	1	1	0.137976339	0.87546541
33	0.36	10.69	3	1	1	0.12932666	0.900267106
34	0.08	16.02	2	1	1	0.371825112	0.765428502
35	0.03	2.65	1	1	1	0.61499941	0.549166653
36	0.21	7.78	5	1	1	0.15741413	0.865160168
37	0.2	15.74	4	1	1	0.128001144	0.893231353
38	0.26	21.06	3	1	1	0.112395528	0.905668046
39	0.06	7.22	2	1	1	0.303771682	0.805348557
40	0.27	17.44	1	1	1	0.107654012	0.916696032
41	0.05	3.79	5	1	1	0.232102587	0.841496392
42	0.1	10.69	4	1	1	0.150590337	0.879113297
43	0.62	14.03	3	1	1	0.084782127	0.913505755
44	0.18	17.92	2	1	1	0.10861089	0.920829157
45	0.05	18.16	1	1	1	0.285293685	0.819485194
46	0.23	9.3	5	1	1	0.115705258	0.892383069
47	0.22	15.38	4	1	1	0.102445231	0.905100564
48	0.04	8.57	3	1	1	0.292048769	0.817033153
49	0.36	15.69	2	1	1	0.078368531	0.927526197
50	0.15	18.59	1	1	1	0.122892045	0.920311075
51	0.35	4.75	5	1	1	0.122107587	0.889053417
52	0.08	13.93	4	1	1	0.202320398	0.873573716
53	0.22	8.02	3	1	1	0.115399735	0.913699517
54	0.18	15.81	2	1	1	0.132839741	0.907055133
55	0.17	22.88	1	1	1	0.142624154	0.912628174
56	0.21	10.63	5	1	1	0.11739275	0.888342987
