Specification of vegetation parameters
Veg-ID	Stomata_Resistance[s/m]	minsuction[hPa]	maxsuction[hPa]	height1[m]	height2[m]	height3[m]	height4[m]	rootdepth1[m]	rootdepth2[m]	rootdepth3[m]	rootdepth4[m]	LAI1[-]	LAI2[-]	LAI3[-]	LAI4[-]	albedo1[-]	albedo2[-]	albedo3[-]	albedo4[-]
3	229.0	1703.0	15000.0	3.76	3.76	3.76	3.76	1.67	1.67	1.67	1.67	1.45	1.45	1.45	1.45	0.26	0.26	0.26	0.26
9	195.0	2756.0	22000.0	1.8	1.8	1.8	1.8	1.71	1.71	1.71	1.71	1.45	1.45	1.45	1.45	0.24	0.24	0.24	0.24
10	30.2	250.0	8000.0	0.3	0.3	0.3	0.3	0.14	0.14	0.14	0.14	3.06	3.06	3.06	3.06	0.235	0.235	0.235	0.235
12	738.0	1176.0	11500.0	2.63	2.63	2.63	2.63	0.83	0.83	0.83	0.83	1.38	1.38	1.38	1.38	0.28	0.28	0.28	0.28
13	119.0	650.0	8000.0	5.13	5.13	5.13	5.13	2.05	2.05	2.05	2.05	3.34	3.34	3.34	3.34	0.23	0.23	0.23	0.23
16	119.0	650.0	8000.0	10.0	10.0	10.0	10.0	2.75	2.75	2.75	2.75	3.82	3.82	3.82	3.82	0.13	0.13	0.13	0.13
17	119.0	650.0	8000.0	7.57	7.57	7.57	7.57	2.16	2.16	2.16	2.16	3.5	3.5	3.5	3.5	0.17	0.17	0.17	0.17
18	400.6	650.0	8000.0	1.5	1.5	1.5	1.5	1.0	1.0	1.0	1.0	1.32	1.32	1.32	1.32	0.225	0.225	0.225	0.225
21	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	291.54	650.0	8000.0	0.3	0.3	0.3	0.3	0.14	0.93	0.93	0.93	0.05	0.05	0.05	0.05	0.23	0.23	0.23	0.23
50	770.0	613.0	8000.0	0.09	0.09	0.09	0.09	0.1	0.1	0.1	0.1	0.28	0.28	0.28	0.28	0.3	0.3	0.3	0.3
