Specification of terrain components
TC-ID	fraction	slope[%]	position[-]
5	0.05	46.81	1
4	0.26	31.2	2
3	0.06	41.63	3
2	0.22	17.09	4
1	0.41	4.88	5
10	0.01	6.98	1
9	0.3	13.23	2
8	0.08	18.04	3
7	0.42	12.74	4
6	0.19	6.7	5
15	0.23	27.13	1
14	0.16	33.6	2
13	0.18	27.81	3
12	0.24	22.34	4
11	0.19	11.25	5
20	0.43	11.66	1
19	0.04	21.39	2
18	0.42	16.23	3
17	0.04	21.63	4
16	0.07	12.8	5
25	0.07	16.05	1
24	0.06	22.77	2
23	0.38	18.03	3
22	0.26	14.41	4
21	0.23	8.78	5
30	0.07	19.95	1
29	0.1	20.52	2
28	0.14	15.97	3
27	0.22	9.67	4
26	0.47	3.8	5
35	0.03	2.65	1
34	0.08	16.02	2
33	0.36	10.69	3
32	0.38	16.55	4
31	0.15	11.65	5
40	0.27	17.44	1
39	0.06	7.22	2
38	0.26	21.06	3
37	0.2	15.74	4
36	0.21	7.78	5
45	0.05	18.16	1
44	0.18	17.92	2
43	0.62	14.03	3
42	0.1	10.69	4
41	0.05	3.79	5
50	0.15	18.59	1
49	0.36	15.69	2
48	0.04	8.57	3
47	0.22	15.38	4
46	0.23	9.3	5
55	0.17	22.88	1
54	0.18	15.81	2
53	0.22	8.02	3
52	0.08	13.93	4
51	0.35	4.75	5
60	0.23	16.3	1
59	0.08	9.04	2
58	0.38	14.33	3
57	0.1	5.94	4
56	0.21	10.63	5
65	0.17	27.28	1
64	0.18	20.65	2
63	0.22	14.41	3
62	0.16	6.68	4
61	0.27	0.86	5
70	0.61458333333333	31.28	1
68	0.1875	26.53	3
67	0.125	20.33	4
66	0.072916666666667	7.26	5
75	0.05	12.52	1
74	0.26	8.71	2
73	0.08	13.93	3
72	0.52	5.46	4
71	0.09	1.67	5
80	0.03	14.2	1
79	0.08	11.22	2
78	0.28	15.96	3
77	0.16	8.45	4
76	0.45	4.22	5
85	0.07	12.15	1
84	0.12	30.08	2
83	0.22	8.01	3
82	0.14	16.32	4
81	0.45	5.76	5
90	0.13	18.1	1
89	0.14	1.47	2
88	0.38	13.07	3
87	0.08	26.72	4
86	0.27	13.04	5
95	0.07	20.4	1
94	0.48	20.15	2
93	0.2	16.06	3
92	0.14	11.2	4
91	0.11	5.57	5
100	0.38541666666667	24.45	1
99	0.0625	20.52	2
97	0.0625	18.45	4
96	0.48958333333333	5.19	5
105	0.07	15.33	1
104	0.04	42.69	2
103	0.08	28.93	3
102	0.22	18.5	4
101	0.59	8.67	5
110	0.05	17.31	1
109	0.2	10.7	2
108	0.04	16.98	3
107	0.36	11.21	4
106	0.35	7.82	5
115	0.11	13.43	1
114	0.12	4.03	2
113	0.1	15.58	3
112	0.34	9.29	4
111	0.33	5.2	5
120	0.09	6.89	1
119	0.22	13.01	2
118	0.02	3.66	3
117	0.52	9.24	4
116	0.15	4.0	5
125	0.07	10.76	1
124	0.06	2.91	2
123	0.04	14.14	3
122	0.46	5.04	4
121	0.37	11.01	5
130	0.19	7.28	1
129	0.04	3.07	2
128	0.16	7.15	3
127	0.56	9.53	4
126	0.05	10.3	5
135	0.29	6.83	1
134	0.12	35.07	2
133	0.04	4.26	3
132	0.16	35.99	4
131	0.39	16.96	5
140	0.09	31.86	1
139	0.08	22.48	2
138	0.22	34.12	3
137	0.24	23.58	4
136	0.37	5.21	5
144	0.35051546391753	14.67	1
143	0.35051546391753	6.67	2
142	0.18556701030928	0.5	3
141	0.11340206185567	6.4	4
150	0.17	0.5	1
149	0.06	28.47	2
148	0.04	70.24	3
147	0.16	27.92	4
146	0.57	3.64	5
155	0.03	23.73	1
154	0.44	13.65	2
153	0.04	33.35	3
152	0.16	14.29	4
151	0.33	8.6	5
160	0.41	12.25	1
159	0.08	24.96	2
158	0.04	43.55	3
157	0.3	22.37	4
156	0.17	14.88	5
165	0.21	18.99	1
164	0.3	14.95	2
163	0.34	0.37	3
162	0.1	5.86	4
161	0.05	32.52	5
170	0.55	6.75	1
169	0.12	23.58	2
168	0.04	8.74	3
167	0.1	17.89	4
166	0.19	5.03	5
175	0.03	49.79	1
174	0.16	15.43	2
173	0.22	24.25	3
172	0.12	0.61	4
171	0.47	15.02	5
180	0.05	6.98	1
179	0.06	30.25	2
178	0.56	20.48	3
177	0.2	13.73	4
176	0.13	5.7	5
185	0.21	6.16	1
184	0.46	13.49	2
183	0.12	7.56	3
182	0.04	21.92	4
181	0.17	10.65	5
190	0.03	11.41	1
189	0.12	5.2	2
188	0.08	12.95	3
187	0.24	8.29	4
186	0.53	13.16	5
195	0.01	70.55	1
194	0.16	34.76	2
193	0.08	10.78	3
192	0.26	29.68	4
191	0.49	5.74	5
200	0.43	26.04	1
199	0.1	15.48	2
198	0.04	30.24	3
197	0.28	18.79	4
196	0.15	8.54	5
205	0.27	9.87	1
204	0.16	21.79	2
203	0.12	34.79	3
202	0.04	62.74	4
201	0.41	25.94	5
210	0.13	33.25	1
209	0.4	33.47	2
208	0.1	28.74	3
207	0.28	22.01	4
206	0.09	12.12	5
215	0.05	28.72	1
214	0.14	69.23	2
213	0.26	30.67	3
212	0.28	16.88	4
211	0.27	7.34	5
220	0.39	21.38	1
219	0.2	33.65	2
218	0.14	47.97	3
217	0.12	36.46	4
216	0.15	22.78	5
225	0.37	26.17	1
224	0.24	20.12	2
223	0.02	14.44	3
222	0.16	21.04	4
221	0.21	10.53	5
230	0.21	10.41	1
229	0.18	15.26	2
228	0.2	20.24	3
227	0.34	29.56	4
226	0.07	14.12	5
235	0.03	24.68	1
234	0.2	25.07	2
233	0.26	20.96	3
232	0.46	15.03	4
231	0.05	3.77	5
240	0.23	27.97	1
239	0.04	9.06	2
238	0.1	23.04	3
237	0.52	17.18	4
236	0.11	7.73	5
245	0.01	62.17	1
244	0.14	35.65	2
243	0.3	27.23	3
242	0.18	14.75	4
241	0.37	6.53	5
250	0.03	11.85	1
249	0.2	28.97	2
248	0.04	36.02	3
247	0.32	18.48	4
246	0.41	5.21	5
255	0.27	12.94	1
254	0.16	25.96	2
253	0.02	9.46	3
252	0.2	34.01	4
251	0.35	25.9	5
260	0.13	5.83	1
259	0.28	14.87	2
258	0.04	30.32	3
257	0.1	18.88	4
256	0.45	23.83	5
265	0.03	55.97	1
264	0.12	25.82	2
263	0.04	49.48	3
262	0.24	23.47	4
261	0.57	8.13	5
270	0.09	23.36	1
269	0.04	5.89	2
268	0.26	29.22	3
267	0.18	12.77	4
266	0.43	18.38	5
275	0.03	48.66	1
274	0.1	31.11	2
273	0.18	40.79	3
272	0.26	23.83	4
271	0.43	5.08	5
280	0.29	14.31	1
279	0.44	22.7	2
278	0.04	37.77	3
277	0.06	28.82	4
276	0.17	18.91	5
284	0.32323232323232	28.51	1
283	0.04040404040404	49.18	2
282	0.48484848484848	29.28	3
281	0.15151515151515	11.57	4
290	0.13	19.4	1
289	0.12	29.12	2
288	0.18	16.56	3
287	0.44	19.79	4
286	0.13	7.97	5
295	0.38541666666667	14.66	1
294	0.041666666666667	52.36	2
293	0.375	28.84	3
291	0.19791666666667	21.4	5
300	0.03	0.42	1
299	0.08	43.23	2
298	0.42	34.49	3
297	0.34	31.79	4
296	0.13	13.81	5
305	0.29	9.65	1
304	0.24	21.58	2
303	0.06	10.35	3
302	0.3	25.45	4
301	0.11	16.33	5
310	0.19	14.21	1
309	0.24	32.74	2
308	0.02	2.36	3
307	0.04	35.16	4
306	0.51	18.44	5
315	0.09	33.41	1
314	0.06	13.52	2
313	0.48	26.26	3
312	0.18	20.31	4
311	0.19	13.17	5
320	0.21	21.91	1
319	0.14	8.13	2
318	0.06	22.5	3
317	0.52	28.68	4
316	0.07	11.27	5
325	0.03	4.92	1
324	0.26	37.95	2
323	0.32	29.61	3
322	0.22	22.69	4
321	0.17	9.47	5
330	0.13	38.77	1
329	0.14	34.68	2
328	0.3	22.37	3
327	0.34	10.06	4
326	0.09	3.04	5
335	0.03	35.51	1
334	0.5	25.27	2
333	0.06	14.56	3
332	0.08	25.82	4
331	0.33	15.23	5
340	0.07	0.19	1
339	0.3	28.39	2
338	0.06	8.07	3
337	0.4	30.73	4
336	0.17	19.07	5
345	0.07	12.29	1
344	0.04	20.06	2
343	0.02	32.32	3
342	0.02	28.06	4
341	0.85	0.12	5
350	0.01	4.79	1
349	0.16	30.74	2
348	0.14	23.69	3
347	0.52	2.09	4
346	0.17	10.72	5
355	0.07	39.17	1
354	0.22	22.85	2
353	0.28	14.5	3
352	0.28	5.71	4
351	0.15	8.34	5
360	0.01	107.05	1
359	0.12	39.92	2
358	0.24	24.81	3
357	0.4	10.28	4
356	0.23	3.89	5
365	0.17	31.75	1
364	0.08	28.24	2
363	0.18	16.08	3
362	0.26	7.45	4
361	0.31	3.6	5
370	0.07	11.57	1
369	0.08	22.72	2
368	0.12	6.21	3
367	0.24	18.41	4
366	0.49	23.1	5
375	0.35	28.73	1
374	0.08	18.44	2
373	0.16	25.69	3
372	0.18	21.82	4
371	0.23	16.01	5
380	0.21	22.52	1
379	0.04	34.62	2
378	0.16	19.49	3
377	0.34	23.94	4
376	0.25	11.51	5
385	0.39	14.5	1
384	0.24	20.9	2
383	0.04	7.87	3
382	0.1	24.88	4
381	0.23	19.61	5
390	0.13	8.27	1
389	0.24	16.77	2
388	0.2	24.68	3
387	0.32	32.66	4
386	0.11	15.75	5
395	0.11	1.9	1
394	0.44	21.67	2
393	0.04	42.14	3
392	0.18	33.39	4
391	0.23	12.12	5
400	0.53	34.9	1
399	0.1	30.58	2
398	0.12	22.37	3
397	0.14	17.73	4
396	0.11	10.39	5
405	0.55	16.29	1
404	0.16	25.74	2
403	0.04	20.23	3
402	0.18	25.25	4
401	0.07	15.2	5
410	0.29	13.83	1
409	0.04	26.39	2
408	0.2	16.01	3
407	0.14	23.85	4
406	0.33	27.36	5
415	0.23	12.63	1
414	0.06	34.87	2
413	0.06	14.74	3
412	0.04	58.44	4
411	0.61	24.17	5
420	0.23	24.65	1
419	0.08	2.27	2
418	0.3	33.17	3
417	0.14	57.27	4
416	0.25	23.47	5
425	0.07	7.48	1
424	0.24	20.55	2
423	0.24	25.75	3
422	0.36	38.19	4
421	0.09	24.08	5
430	0.03	9.81	1
429	0.2	34.04	2
428	0.28	17.48	3
427	0.18	10.71	4
426	0.31	1.94	5
435	0.11	24.74	1
434	0.24	20.91	2
433	0.28	0.61	3
432	0.1	20.85	4
431	0.27	5.74	5
440	0.25	23.46	1
439	0.16	13.94	2
438	0.26	38.32	3
437	0.24	25.95	4
436	0.09	10.89	5
445	0.17	13.87	1
444	0.28	9.23	2
443	0.04	16.11	3
442	0.06	11.21	4
441	0.45	1.75	5
450	0.31	13.61	1
449	0.44	29.37	2
448	0.08	9.76	3
447	0.04	64.72	4
446	0.13	20.45	5
455	0.03	18.88	1
454	0.12	42.47	2
453	0.52	24.28	3
452	0.26	3.04	4
451	0.07	11.73	5
460	0.03	47.65	1
459	0.18	26.17	2
458	0.1	10.77	3
457	0.06	25.0	4
456	0.63	7.72	5
465	0.33	40.29	1
464	0.12	29.05	2
463	0.32	16.59	3
462	0.06	2.82	4
461	0.17	12.31	5
470	0.17	17.22	1
469	0.34	9.32	2
468	0.22	2.35	3
467	0.14	14.33	4
466	0.13	5.35	5
475	0.09	45.96	1
474	0.38	7.71	2
473	0.12	19.79	3
472	0.22	5.48	4
471	0.19	12.56	5
480	0.15	29.45	1
479	0.54	16.49	2
478	0.06	0.31	3
477	0.14	13.24	4
476	0.11	2.98	5
485	0.03	38.08	1
484	0.58	21.21	2
483	0.08	6.74	3
