Specification of river parameters for the Esera Basin, NE Spain																	
Subasin-ID	 depth(m)	 width(m)	 side ratio (m/m)	 bottom width of floodplain (m)	 side ratio floodplains (m/m)	 channel slope(m/m)	 length(km)	 manningn(-)	manningn_floodplain(-)	 Ksat(mm/hr)	 erodibilityfactor(-)	coverfactor(-)	 riverbedrock(-)	baseflowalphafactor(days)	 Muskingum_X (-)	 Muskingum_k (-)	Q_spring(m3/s)
10	2	20	2	100	4	0.017171	9.9	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
11	2	20	2	100	4	0.021392	7.9	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
12	1.5	15	2	100	4	0.091965	11.7	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
13	2	20	2	100	4	0.010413	12.1	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
14	1.5	15	2	100	4	0.091048	14.3	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
1	1.5	15	2	100	4	0.046896	29	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
2	1.5	15	2	100	4	0.097377	12.2	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
3	1.5	15	2	100	4	0.076944	3.6	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
4	1.5	15	2	100	4	0.044959	12.3	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
5	1.5	15	2	100	4	0.050444	4.5	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
15	2	20	2	100	4	0.007246	20.7	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
6	2	20	2	100	4	0.027235	12.3	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
16	2	20	2	100	4	0.008461	6.5	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
7	2	20	2	100	4	0.006393	6.1	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
17	2	20	2	100	4	0.008	1.5	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
20	2.5	30	2	100	4	0.0025	9.2	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
21	2.5	30	2	100	4	0.022809	12.1	0.02	0.05	1	1	1	0	0.1	0.3	0.6	0
