discharge
YYYY	MM	DD	HH	Cabecera_weir	Capella	Carrasquero	Ceguera	Lascuarre_tube	Villacarli_Bridge
YYYY	MM	DD	HH	Cabecera_weir	Capella	Carrasquero	Ceguera	Lascuarre_tube	Villacarli_Bridge
YYYY	MM	DD	HH	Cabecera_weir	Capella	Carrasquero	Ceguera	Lascuarre_tube	Villacarli_Bridge
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
2011	01	01	00	-9999	3.032	-9999	-9999	-9999	-9999
2011	01	02	00	-9999	2.825	-9999	-9999	-9999	-9999
2011	01	03	00	-9999	2.548	-9999	-9999	-9999	-9999
2011	01	04	00	-9999	2.337	-9999	-9999	-9999	-9999
2011	01	05	00	-9999	2.302	-9999	-9999	-9999	-9999
2011	01	06	00	-9999	2.797	-9999	-9999	-9999	-9999
2011	01	07	00	-9999	3.129	-9999	-9999	-9999	-9999
2011	01	08	00	-9999	3.345	-9999	-9999	-9999	-9999
2011	01	09	00	-9999	4.146	-9999	-9999	-9999	-9999
2011	01	10	00	-9999	6.095	-9999	-9999	-9999	-9999
2011	01	11	00	-9999	4.822	-9999	-9999	-9999	-9999
2011	01	12	00	-9999	4.064	-9999	-9999	-9999	-9999
2011	01	13	00	-9999	3.638	-9999	-9999	-9999	-9999
2011	01	14	00	-9999	3.356	-9999	-9999	-9999	-9999
2011	01	15	00	-9999	3.118	-9999	-9999	-9999	-9999
2011	01	16	00	-9999	2.924	-9999	-9999	-9999	-9999
2011	01	17	00	-9999	2.781	-9999	-9999	-9999	-9999
2011	01	18	00	-9999	2.598	-9999	-9999	-9999	-9999
2011	01	19	00	-9999	2.429	-9999	-9999	-9999	-9999
2011	01	20	00	-9999	2.351	-9999	-9999	-9999	-9999
2011	01	21	00	-9999	2.057	-9999	-9999	-9999	-9999
2011	01	22	00	-9999	1.778	-9999	-9999	-9999	-9999
2011	01	23	00	-9999	1.664	-9999	-9999	-9999	-9999
2011	01	24	00	-9999	1.667	-9999	-9999	-9999	-9999
2011	01	25	00	-9999	1.634	-9999	-9999	-9999	-9999
2011	01	26	00	-9999	1.561	-9999	-9999	-9999	-9999
