Specification of seasonality of C-factor (per year)					
for the interpolation of temporal distribution between 4 nodes within the year using values in svc.dat					
subbasin_id svc_id	year	DOY1	DOY2	DOY3	DOY4
-1	77201	-1	90	134	190	207
-1	90001	-1	90	134	190	207
-1	102101	-1	90	134	190	207
-1	106901	-1	90	134	190	207
-1	108601	-1	90	134	190	207
-1	109901	-1	90	134	190	207
-1	116501	-1	90	134	190	207
-1	120301	-1	90	134	190	207
-1	120801	-1	90	134	190	207
-1	127001	-1	90	134	190	207
-1	129101	-1	90	134	190	207
-1	1077201	-1	90	134	190	207
-1	1090001	-1	90	134	190	207
-1	1106901	-1	90	134	190	207
-1	1109901	-1	90	134	190	207
-1	1116501	-1	90	134	190	207
-1	1120301	-1	90	134	190	207
-1	1120801	-1	90	134	190	207
-1	106903	-1	90	134	190	207
-1	120303	-1	90	134	190	207
-1	120803	-1	90	134	190	207
-1	76710	-1	87	136	194	202
-1	77210	-1	87	136	194	202
-1	90010	-1	87	136	194	202
-1	106910	-1	87	136	194	202
-1	108610	-1	87	136	194	202
-1	109910	-1	87	136	194	202
-1	116510	-1	87	136	194	202
-1	120310	-1	87	136	194	202
-1	1077210	-1	87	136	194	202
-1	1090010	-1	87	136	194	202
-1	1106910	-1	87	136	194	202
-1	1109910	-1	87	136	194	202
-1	1116510	-1	87	136	194	202
-1	76718	-1	102	132	212	240
-1	77218	-1	102	132	212	240
-1	83218	-1	102	132	212	240
-1	84618	-1	102	132	212	240
-1	90018	-1	102	132	212	240
-1	102118	-1	102	132	212	240
-1	106918	-1	102	132	212	240
-1	108618	-1	102	132	212	240
-1	109918	-1	102	132	212	240
-1	116518	-1	102	132	212	240
-1	120318	-1	102	132	212	240
-1	120818	-1	102	132	212	240
-1	127018	-1	102	132	212	240
-1	129118	-1	102	132	212	240
-1	1077218	-1	102	132	212	240
-1	1090018	-1	102	132	212	240
-1	1106918	-1	102	132	212	240
-1	1109918	-1	102	132	212	240
-1	1116518	-1	102	132	212	240
-1	1120318	-1	102	132	212	240
-1	1120818	-1	102	132	212	240
-1	5050	-1	78	123	129	212
-1	-1	-1	1	2	3	4
