discharge
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
2011	01	01	00	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	01	01	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	01	02	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	01	03	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	01	04	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	01	05	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	01	06	-9999	3.03	-9999	-9999	-9999	-9999
2011	01	01	07	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	08	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	09	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	10	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	11	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	12	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	13	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	14	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	15	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	16	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	17	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	18	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	19	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	20	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	21	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	22	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	01	23	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	02	00	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	02	01	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	02	02	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	02	03	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	02	04	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	02	05	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	06	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	07	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	08	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	09	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	10	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	11	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	12	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	13	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	14	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	15	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	16	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	17	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	18	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	19	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	20	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	21	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	22	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	02	23	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	03	00	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	03	01	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	03	02	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	03	03	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	03	04	-9999	2.6	-9999	-9999	-9999	-9999
2011	01	03	05	-9999	2.6	-9999	-9999	-9999	-9999
2011	01	03	06	-9999	2.6	-9999	-9999	-9999	-9999
2011	01	03	07	-9999	2.6	-9999	-9999	-9999	-9999
2011	01	03	08	-9999	2.6	-9999	-9999	-9999	-9999
2011	01	03	09	-9999	2.6	-9999	-9999	-9999	-9999
2011	01	03	10	-9999	2.6	-9999	-9999	-9999	-9999
2011	01	03	11	-9999	2.6	-9999	-9999	-9999	-9999
2011	01	03	12	-9999	2.467	-9999	-9999	-9999	-9999
2011	01	03	13	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	03	14	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	03	15	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	03	16	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	03	17	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	03	18	-9999	2.467	-9999	-9999	-9999	-9999
2011	01	03	19	-9999	2.467	-9999	-9999	-9999	-9999
2011	01	03	20	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	03	21	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	03	22	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	03	23	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	04	00	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	04	01	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	04	02	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	04	03	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	04	04	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	04	05	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	04	06	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	04	07	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	04	08	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	04	09	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	04	10	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	04	11	-9999	2.381	-9999	-9999	-9999	-9999
2011	01	04	12	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	04	13	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	04	14	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	04	15	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	04	16	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	04	17	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	04	18	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	04	19	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	04	20	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	04	21	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	04	22	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	04	23	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	00	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	01	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	02	-9999	2.338	-9999	-9999	-9999	-9999
2011	01	05	03	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	05	04	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	05	05	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	05	06	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	05	07	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	05	08	-9999	2.423	-9999	-9999	-9999	-9999
2011	01	05	09	-9999	2.296	-9999	-9999	-9999	-9999
2011	01	05	10	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	11	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	12	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	13	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	14	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	15	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	16	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	17	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	18	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	19	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	20	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	21	-9999	2.254	-9999	-9999	-9999	-9999
2011	01	05	22	-9999	2.254	-9999	-9999	-9999	-9999
