Specification of which SVCs are contained in each TC
TC-ID[-]	SVC-ID[-]	fraction[-]
1	77218	0.345
1	120318	0.206
1	120303	0.104
1	1116503	0.081
1	109912	0.055
1	77216	0.049
1	1109912	0.043
1	109918	0.027
1	1120818	0.018
1	1109918	0.017
1	1120318	0.013
1	127021	0.009
2	120318	0.294
2	77218	0.286
2	109918	0.09
2	109912	0.079
2	77216	0.071
2	1116518	0.063
2	120303	0.061
2	1116503	0.014
2	83218	0.01
2	1109918	0.007
2	1120318	0.006
3	120318	0.295
3	77218	0.232
3	109918	0.127
3	1116518	0.065
3	109912	0.064
3	77216	0.064
3	83218	0.057
3	120303	0.057
3	1109918	0.01
3	109910	0.008
3	1106918	0.006
4	120318	0.322
4	77218	0.217
4	109918	0.183
4	83218	0.107
4	106918	0.039
4	1116518	0.028
4	120303	0.026
4	77216	0.023
4	109912	0.016
4	116518	0.012
5	120318	0.348
5	109918	0.214
5	77218	0.173
5	83218	0.162
5	106918	0.066
5	116518	0.008
5	109912	0.005
6	1116503	0.201
6	77217	0.132
6	77210	0.123
6	116503	0.111
6	127012	0.06
6	77213	0.056
6	120303	0.052
6	120317	0.049
6	116512	0.033
6	109912	0.027
6	1120303	0.021
6	1120803	0.02
6	1109912	0.02
6	1116512	0.016
6	77209	0.015
6	1120809	0.015
6	1106909	0.015
6	129103	0.01
6	1106903	0.01
6	77221	0.008
6	1090013	0.008
7	77217	0.187
7	116503	0.164
7	1116503	0.096
7	77213	0.089
7	120303	0.053
7	116512	0.041
7	77210	0.04
7	1120303	0.04
7	120317	0.034
7	109912	0.031
7	120312	0.027
7	127012	0.023
7	1120803	0.021
7	1109912	0.02
7	120817	0.02
7	77209	0.019
7	120329	0.016
7	116517	0.014
7	1106903	0.014
7	129113	0.012
7	1120809	0.011
7	109918	0.007
7	1120318	0.007
7	116516	0.007
8	77217	0.189
8	116503	0.166
8	77213	0.104
8	120312	0.065
8	1116503	0.059
8	120817	0.043
8	116512	0.038
8	120303	0.034
8	1120303	0.033
8	77210	0.025
8	1120803	0.024
8	109912	0.021
8	120317	0.021
8	1120318	0.019
8	120313	0.015
8	1109912	0.015
8	77209	0.015
8	116518	0.014
8	109918	0.014
8	129113	0.012
8	120818	0.01
8	116517	0.01
8	120803	0.01
8	116516	0.008
8	129103	0.008
8	1106903	0.008
9	77217	0.191
9	116503	0.13
