file	unit
actetranspiration	mm
daily_actetranspiration	mm/d
daily_gw_loss	m3/d
daily_potetranspiration	mm/d
daily_qhorton	m3/d
daily_sediment_production	t/d
daily_subsurface_runoff	m3/d
daily_theta	mm
daily_total_overlandflow	m3/d
daily_water_subbasin	m3/s
deep_gw_discharge	m3
deep_gw_recharge	m3
gw_discharge	m3
gw_loss	m3
gw_recharge	m3
gw_storage.stat	m3
intercept_storage.stat	m3
potetranspiration	mm
qhorton	m3
river_flow	m3/s
sediment_production	t
soil_moisture.stat	m3
storage.stats	m3
storage.stats_start	m3
subsurface_runoff	m3/d
total_overlandflow	m3
water_subbasin	m3/s
River_Sediment_total	t
