Specification of which SVCs are contained in each TC
TC-ID[-]	SVC-ID[-]	fraction[-]
1	1106901	0.206
1	1106918	0.136
1	1106917	0.059
1	120318	0.048
1	120301	0.046
1	5050	0.04
1	1109901	0.039
1	116501	0.038
1	116517	0.037
1	1109918	0.035
1	1116501	0.033
1	106918	0.031
1	1116518	0.026
1	129118	0.025
1	1120801	0.018
1	109918	0.017
1	1106913	0.015
1	1090018	0.015
1	116513	0.014
1	120317	0.012
1	1120317	0.012
1	127001	0.011
1	109901	0.01
1	116518	0.009
1	1106910	0.009
1	1120318	0.009
1	106901	0.009
1	1106951	0.008
1	120316	0.008
1	106917	0.008
1	1109917	0.007
1	106916	0.006
1	120813	0.006
2	1106901	0.182
2	1106918	0.115
2	120318	0.067
2	116501	0.059
2	120301	0.052
2	1109918	0.048
2	5050	0.042
2	1106917	0.042
2	106918	0.038
2	1109901	0.035
2	106901	0.031
2	129118	0.026
2	1116501	0.025
2	127001	0.022
2	1116518	0.019
2	1120801	0.018
2	116518	0.017
2	106917	0.013
2	127018	0.013
2	116517	0.013
2	1106951	0.011
2	120317	0.011
2	1120318	0.011
2	116513	0.01
2	120316	0.009
2	1106913	0.009
2	1120818	0.009
2	1106910	0.009
2	1106916	0.008
2	120313	0.007
2	109901	0.007
2	1109917	0.006
2	109918	0.006
2	1109913	0.006
3	1106901	0.173
3	1106918	0.107
3	120318	0.094
3	1106917	0.056
3	106918	0.055
3	116501	0.044
3	116518	0.039
3	5050	0.03
3	120301	0.029
3	106917	0.027
3	1106916	0.024
3	109918	0.024
3	129118	0.023
3	1109918	0.022
3	120316	0.022
3	1116518	0.022
3	116517	0.021
3	127018	0.02
3	120317	0.017
3	1109901	0.017
3	106916	0.016
3	109901	0.015
3	106901	0.013
3	1090001	0.01
3	1120818	0.01
3	116513	0.009
3	109917	0.009
3	1109917	0.008
3	1120801	0.007
3	1106913	0.007
3	1090018	0.007
3	1109913	0.006
3	127001	0.006
3	1116501	0.006
3	1116516	0.006
4	1106901	0.104
4	120318	0.1
4	1106918	0.097
4	106918	0.074
4	1106917	0.062
4	109918	0.06
4	106917	0.049
4	116501	0.047
4	120317	0.04
4	1106916	0.036
4	116517	0.032
4	120301	0.03
4	120316	0.029
4	106916	0.029
4	116518	0.027
4	106901	0.027
4	129118	0.024
4	1090018	0.019
4	109901	0.017
4	5050	0.016
4	1116518	0.014
4	116516	0.009
4	1120801	0.009
4	1109901	0.008
4	116513	0.007
4	106913	0.007
4	1120818	0.007
4	106951	0.006
4	1116501	0.006
4	109917	0.006
5	120318	0.099
5	106918	0.094
5	109918	0.079
5	1106918	0.079
5	116501	0.077
5	1106917	0.061
5	1106901	0.06
5	1106916	0.059
5	106917	0.049
5	106916	0.046
5	120317	0.041
5	116517	0.038
5	116518	0.032
5	106901	0.028
5	120316	0.027
5	120301	0.025
5	129118	0.022
5	109917	0.016
5	1090018	0.013
5	1120301	0.012
5	1120318	0.012
5	5050	0.011
5	116516	0.009
5	120817	0.006
5	1120801	0.005
6	1116501	0.083
6	120318	0.081
6	1106918	0.074
6	116518	0.068
6	5050	0.059
6	106918	0.056
6	116501	0.056
6	120301	0.052
6	76718	0.045
6	1116518	0.036
6	106917	0.031
6	1109918	0.028
6	106916	0.024
6	120317	0.022
6	1120318	0.019
6	1106901	0.018
6	109918	0.018
6	127018	0.018
6	77218	0.017
6	1120301	0.017
6	120351	0.012
6	109901	0.012
6	1106910	0.012
6	127001	0.012
6	1116513	0.012
6	120316	0.012
6	1109901	0.011
6	1109917	0.01
6	1120801	0.009
6	129118	0.009
6	1120313	0.009
6	106901	0.009
6	116517	0.008
6	1106916	0.008
